time_s,state,position_mm,conveyor,axis_enable,count,alarm
0.01,FEED,0.0,False,False,0,
0.02,INDEX,0.0,False,False,0,
0.03,INDEX,1.6,False,True,0,
0.04,INDEX,3.2,False,True,0,
0.05,INDEX,4.8,False,True,0,
0.06,INDEX,6.4,False,True,0,
0.07,INDEX,8.0,False,True,0,
0.08,INDEX,9.6,False,True,0,
0.09,INDEX,11.2,False,True,0,
0.1,INDEX,12.8,False,True,0,
0.11,INDEX,14.4,False,True,0,
0.12,INDEX,16.0,False,True,0,
0.13,INDEX,17.6,False,True,0,
0.14,INDEX,19.2,False,True,0,
0.15,INDEX,20.8,False,True,0,
0.16,INDEX,22.4,False,True,0,
0.17,INDEX,24.0,False,True,0,
0.18,INDEX,25.6,False,True,0,
0.19,INDEX,27.2,False,True,0,
0.2,INDEX,28.8,False,True,0,
0.21,INDEX,30.4,False,True,0,
0.22,INDEX,32.0,False,True,0,
0.23,INDEX,33.6,False,True,0,
0.24,INDEX,35.2,False,True,0,
0.25,INDEX,36.8,False,True,0,
0.26,FAULT,36.8,False,False,0,JAM
0.27,FAULT,36.8,False,False,0,JAM
0.28,FAULT,36.8,False,False,0,JAM
0.29,FAULT,36.8,False,False,0,JAM
0.3,FAULT,36.8,False,False,0,JAM
0.31,FAULT,36.8,False,False,0,JAM
0.32,FAULT,36.8,False,False,0,JAM
0.33,FAULT,36.8,False,False,0,JAM
0.34,FAULT,36.8,False,False,0,JAM
0.35,FAULT,36.8,False,False,0,JAM
0.36,FAULT,36.8,False,False,0,JAM
0.37,FAULT,36.8,False,False,0,JAM
0.38,FAULT,36.8,False,False,0,JAM
0.39,FAULT,36.8,False,False,0,JAM
0.4,FAULT,36.8,False,False,0,JAM
0.41,FAULT,36.8,False,False,0,JAM
0.42,FAULT,36.8,False,False,0,JAM
0.43,FAULT,36.8,False,False,0,JAM
0.44,FAULT,36.8,False,False,0,JAM
0.45,FAULT,36.8,False,False,0,JAM
0.46,FAULT,36.8,False,False,0,JAM
0.47,FAULT,36.8,False,False,0,JAM
0.48,FAULT,36.8,False,False,0,JAM
0.49,FAULT,36.8,False,False,0,JAM
0.5,FAULT,36.8,False,False,0,JAM
0.51,FAULT,36.8,False,False,0,JAM
0.52,FAULT,36.8,False,False,0,JAM
0.53,FAULT,36.8,False,False,0,JAM
0.54,FAULT,36.8,False,False,0,JAM
0.55,FAULT,36.8,False,False,0,JAM
0.56,FAULT,36.8,False,False,0,JAM
0.57,FAULT,36.8,False,False,0,JAM
0.58,FAULT,36.8,False,False,0,JAM
0.59,FAULT,36.8,False,False,0,JAM
0.6,FAULT,36.8,False,False,0,JAM
0.61,IDLE,36.8,False,False,0,
0.62,IDLE,36.8,False,False,0,
0.63,IDLE,36.8,False,False,0,
0.64,IDLE,36.8,False,False,0,
0.65,IDLE,36.8,False,False,0,
0.66,IDLE,36.8,False,False,0,
0.67,IDLE,36.8,False,False,0,
0.68,IDLE,36.8,False,False,0,
0.69,IDLE,36.8,False,False,0,
0.7,IDLE,36.8,False,False,0,
0.71,IDLE,36.8,False,False,0,
0.72,IDLE,36.8,False,False,0,
0.73,IDLE,36.8,False,False,0,
0.74,IDLE,36.8,False,False,0,
0.75,IDLE,36.8,False,False,0,
0.76,IDLE,36.8,False,False,0,
0.77,IDLE,36.8,False,False,0,
0.78,IDLE,36.8,False,False,0,
0.79,IDLE,36.8,False,False,0,
0.8,IDLE,36.8,False,False,0,
0.81,IDLE,36.8,False,False,0,
0.82,IDLE,36.8,False,False,0,
0.83,IDLE,36.8,False,False,0,
0.84,IDLE,36.8,False,False,0,
0.85,IDLE,36.8,False,False,0,
