time_s,state,position_mm,conveyor,axis_enable,count,alarm
0.01,FEED,0.0,False,False,0,
0.02,INDEX,0.0,False,False,0,
0.03,INDEX,1.6,False,True,0,
0.04,INDEX,3.2,False,True,0,
0.05,INDEX,4.8,False,True,0,
0.06,INDEX,6.4,False,True,0,
0.07,INDEX,8.0,False,True,0,
0.08,INDEX,9.6,False,True,0,
0.09,INDEX,11.2,False,True,0,
0.1,INDEX,12.8,False,True,0,
0.11,INDEX,14.4,False,True,0,
0.12,INDEX,16.0,False,True,0,
0.13,INDEX,17.6,False,True,0,
0.14,INDEX,19.2,False,True,0,
0.15,INDEX,20.8,False,True,0,
0.16,INDEX,22.4,False,True,0,
0.17,INDEX,24.0,False,True,0,
0.18,INDEX,25.6,False,True,0,
0.19,INDEX,27.2,False,True,0,
0.2,INDEX,28.8,False,True,0,
0.21,INDEX,30.4,False,True,0,
0.22,INDEX,32.0,False,True,0,
0.23,INDEX,33.6,False,True,0,
0.24,INDEX,35.2,False,True,0,
0.25,INDEX,36.8,False,True,0,
0.26,INDEX,38.4,False,True,0,
0.27,INDEX,40.0,False,True,0,
0.28,INDEX,41.6,False,True,0,
0.29,INDEX,43.2,False,True,0,
0.3,INDEX,44.8,False,True,0,
0.31,INDEX,46.4,False,True,0,
0.32,INDEX,48.0,False,True,0,
0.33,INDEX,49.6,False,True,0,
0.34,INDEX,51.2,False,True,0,
0.35,INDEX,52.8,False,True,0,
0.36,INDEX,54.4,False,True,0,
0.37,INDEX,56.0,False,True,0,
0.38,INDEX,57.6,False,True,0,
0.39,INDEX,59.2,False,True,0,
0.4,INDEX,60.8,False,True,0,
0.41,INDEX,62.4,False,True,0,
0.42,INDEX,64.0,False,True,0,
0.43,INDEX,65.6,False,True,0,
0.44,INDEX,67.2,False,True,0,
0.45,INDEX,68.8,False,True,0,
0.46,INDEX,70.4,False,True,0,
0.47,INDEX,72.0,False,True,0,
0.48,INDEX,73.6,False,True,0,
0.49,INDEX,75.2,False,True,0,
0.5,INDEX,76.8,False,True,0,
0.51,INDEX,78.4,False,True,0,
0.52,INDEX,80.0,False,True,0,
0.53,DWELL,80.0,False,False,0,
0.54,DWELL,80.0,False,False,0,
0.55,DWELL,80.0,False,False,0,
0.56,DWELL,80.0,False,False,0,
0.57,DWELL,80.0,False,False,0,
0.58,DWELL,80.0,False,False,0,
0.59,DWELL,80.0,False,False,0,
0.6,DWELL,80.0,False,False,0,
0.61,DWELL,80.0,False,False,0,
0.62,DWELL,80.0,False,False,0,
0.63,DWELL,80.0,False,False,0,
0.64,DWELL,80.0,False,False,0,
0.65,DWELL,80.0,False,False,0,
0.66,DWELL,80.0,False,False,0,
0.67,DWELL,80.0,False,False,0,
0.68,DWELL,80.0,False,False,0,
0.69,DWELL,80.0,False,False,0,
0.7,DWELL,80.0,False,False,0,
0.71,DWELL,80.0,False,False,0,
0.72,DWELL,80.0,False,False,0,
0.73,EJECT,80.0,False,False,0,
0.74,COMPLETE,80.0,False,False,1,
0.75,IDLE,80.0,False,False,1,
0.76,IDLE,80.0,False,False,1,
0.77,IDLE,80.0,False,False,1,
0.78,IDLE,80.0,False,False,1,
0.79,IDLE,80.0,False,False,1,
0.8,IDLE,80.0,False,False,1,
0.81,IDLE,80.0,False,False,1,
0.82,IDLE,80.0,False,False,1,
0.83,IDLE,80.0,False,False,1,
0.84,IDLE,80.0,False,False,1,
0.85,IDLE,80.0,False,False,1,
0.86,IDLE,80.0,False,False,1,
0.87,IDLE,80.0,False,False,1,
0.88,IDLE,80.0,False,False,1,
0.89,IDLE,80.0,False,False,1,
0.9,IDLE,80.0,False,False,1,
